afiro,&,size,&,time,&,10.2847,&,9.0156,&,4.8757,&,5.3485,&
afiro,&,size,&,time/ite,&,0.0785,&,0.2254,&,0.2322,&,0.2229,&
blend,&,size,&,time,&,121.5492,&,628.914,&,40.5707,&,49.6899,&
blend,&,size,&,time/ite,&,0.0885,&,0.2423,&,0.2332,&,0.2872,&
sc50a,&,size,&,time,&,39.9912,&,36.9685,&,10.132,&,11.3964,&
sc50a,&,size,&,time/ite,&,0.0831,&,0.2282,&,0.2252,&,0.2849,&
sc50b,&,size,&,time,&,16.9142,&,24.31,&,8.1663,&,11.0601,&
sc50b,&,size,&,time/ite,&,0.0863,&,0.2383,&,0.2402,&,0.3253,&
scagr7,&,size,&,time,&,478.0349,&,744.4957,&,56.1306,&,70.5756,&
scagr7,&,size,&,time/ite,&,0.1023,&,0.269,&,0.3101,&,0.3069,&
seba,&,size,&,time,&,628.8143,&,465.4333,&,368.7089,&,362.3901,&
seba,&,size,&,time/ite,&,1.6858,&,1.9722,&,1.8622,&,1.8303,&
stocfor1,&,size,&,time,&,30.5943,&,254.9058,&,49.8069,&,66.7375,&
stocfor1,&,size,&,time/ite,&,0.1013,&,0.2529,&,0.2862,&,0.6543,&
